condition,subject,status,n_test,ME,MAE,RMSE,protocol
clean,8Nmar,healthy,1720,0.6627469062805176,3.8002209663391113,5.835269098164886,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,8Nmar,healthy,1720,0.6748587489128113,3.8144876956939697,5.857713957268294,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,8Nmar,healthy,1720,0.6692959070205688,3.803797721862793,5.837969363700354,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,8Nmar,healthy,1720,3.103203535079956,6.017985820770264,8.172977526306298,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,8Nmar,healthy,1720,-0.5850952863693237,5.538579940795898,8.699648041018536,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,8Nmar,healthy,1720,-0.23024910688400269,4.419338703155518,6.936381206856077,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,8Nmar,healthy,1720,-0.3402550220489502,4.266830921173096,6.685683529588617,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,8Nmar,healthy,1720,-0.16796715557575226,3.8747005462646484,5.7848783087563,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,8Nmar,healthy,1720,1.7968287467956543,4.364063262939453,6.850095550538961,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,8Nmar,healthy,1720,0.6706740260124207,3.8003218173980713,5.834389763493138,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,9Nmar,healthy,942,-3.515392303466797,5.602348804473877,9.21103730928218,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,9Nmar,healthy,942,-3.5099148750305176,5.599031448364258,9.208822614234117,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,9Nmar,healthy,942,-3.535475492477417,5.625375270843506,9.245750482115504,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,9Nmar,healthy,942,-4.165665149688721,10.512466430664062,15.049893117125917,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,9Nmar,healthy,942,-3.4590280055999756,7.580111503601074,11.506753016826005,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,9Nmar,healthy,942,-0.6742886900901794,6.5995659828186035,8.247457401458172,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,9Nmar,healthy,942,-4.813737869262695,5.86964225769043,10.150444554708091,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,9Nmar,healthy,942,-3.009673595428467,5.660156726837158,9.043728875990361,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,9Nmar,healthy,942,-3.9398231506347656,5.776616096496582,9.5060682491306,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,9Nmar,healthy,942,-3.519415855407715,5.599318981170654,9.209127078361453,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,10Nmar,healthy,1043,4.425111770629883,13.154154777526855,15.299955500120387,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,10Nmar,healthy,1043,4.361477375030518,13.168120384216309,15.291821776113594,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,10Nmar,healthy,1043,4.474583148956299,13.112668991088867,15.265155203236757,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,10Nmar,healthy,1043,5.739651203155518,20.568933486938477,24.219563998417428,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,10Nmar,healthy,1043,4.6850738525390625,13.487546920776367,15.80640447683633,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_VM,10Nmar,healthy,1043,4.025287628173828,7.448892116546631,8.92014446945547,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_ST,10Nmar,healthy,1043,-0.47164198756217957,12.93850040435791,15.841119611840591,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_0.8,10Nmar,healthy,1043,5.73444128036499,13.872923851013184,15.744928421434432,checkpoint_reuse_purged_temporal_test_only_perturbation
amplitude_scale_1.2,10Nmar,healthy,1043,3.575944662094116,13.134584426879883,15.626410092622441,checkpoint_reuse_purged_temporal_test_only_perturbation
feature_smoothing_5,10Nmar,healthy,1043,4.417966365814209,13.14316463470459,15.28202783520104,checkpoint_reuse_purged_temporal_test_only_perturbation
clean,11Nmar,healthy,1053,0.09686343371868134,4.486200332641602,6.151710036807093,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.05,11Nmar,healthy,1053,0.09751482307910919,4.484109878540039,6.153198105361806,checkpoint_reuse_purged_temporal_test_only_perturbation
gaussian_noise_std_0.10,11Nmar,healthy,1053,0.10949637740850449,4.505298137664795,6.160282266763526,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_RF,11Nmar,healthy,1053,1.8969132900238037,4.356266498565674,5.498274966127959,checkpoint_reuse_purged_temporal_test_only_perturbation
channel_dropout_BF,11Nmar,healthy,1053,2.486046552658081,7.412021160125732,9.263349231085417,checkpoint_reuse_purged_temporal_test_only_perturbation
